"RandN","ID","TimeP","Site","Genotype","Treat","Treatment","Set","SA_cm2","Chl_ug.cm2","Sym10.6_cm2"
"W1_41","K10_H_N_2","W1","KL","AC10","H","Heat","W1.KL.AC10.H",27.633323725677,0.0976909869209203,NA
"W1_42","K8_H_N_1","W1","KL","AC8","H","Heat","W1.KL.AC8.H",44.2907632654897,0.0308430750029032,NA
"W1_44","K8_C_N_3","W1","KL","AC8","C","Control","W1.KL.AC8.C",23.6200028002817,0.739205246825448,NA
"W1_46","S12_C_N_2","W1","SS","AC12","C","Control","W1.SS.AC12.C",25.5619322803117,1.36971517969454,NA
"W1_47","S12_H_N_4","W1","SS","AC12","H","Heat","W1.SS.AC12.H",47.3978504335377,0.172369785941863,NA
"W1_5","S10_H_N_3","W1","SS","AC10","H","Heat","W1.SS.AC10.H",39.8459024556433,0.0834687248047415,NA
"W1_52","K12_H_N_1","W1","KL","AC12","H","Heat","W1.KL.AC12.H",14.9892051112595,0.204534039257606,NA
"W1_53","S8_H_N_1","W1","SS","AC8","H","Heat","W1.SS.AC8.H",71.8661618819155,0.148052987962301,NA
"W1_55","K12_C_N_3","W1","KL","AC12","C","Control","W1.KL.AC12.C",27.4175537834514,0.627997917051926,NA
"W1_58","S8_C_N_1","W1","SS","AC8","C","Control","W1.SS.AC8.C",73.4197054659395,1.16024709523683,NA
"W1_59","S12_C_N_4","W1","SS","AC12","C","Control","W1.SS.AC12.C",45.8011528610686,1.66992521415356,NA
"W1_6","K12_H_N_2","W1","KL","AC12","H","Heat","W1.KL.AC12.H",35.4010416457969,0.146549360098164,NA
"W1_60","K10_H_N_3","W1","KL","AC10","H","Heat","W1.KL.AC10.H",17.1469045335151,0.062037436431795,NA
"W1_63","K12_C_N_1","W1","KL","AC12","C","Control","W1.KL.AC12.C",31.7329526279625,0.722734510995063,NA
"W1_64","S10_C_N_3","W1","SS","AC10","C","Control","W1.SS.AC10.C",28.9710973674754,0.876952168722099,NA
"W1_65","K10_C_N_1","W1","KL","AC10","C","Control","W1.KL.AC10.C",30.2225630323836,0.362784144247409,NA
"W1_66","S10_H_N_4","W1","SS","AC10","H","Heat","W1.SS.AC10.H",17.0174425681797,0.0679143176402458,NA
"W1_69","S10_H_N_1","W1","SS","AC10","H","Heat","W1.SS.AC10.H",44.8086111268311,0.139187011376305,NA
"W1_7","K10_H_N_1","W1","KL","AC10","H","Heat","W1.KL.AC10.H",30.0931010670483,0.157082515007938,NA
"W1_71","S10_C_N_1","W1","SS","AC10","C","Control","W1.SS.AC10.C",46.2758467339648,0.569380541390024,NA
"W1_76","S12_H_N_3","W1","SS","AC12","H","Heat","W1.SS.AC12.H",35.2715796804616,0.207345027722642,NA
"W1_77","K12_C_N_2","W1","KL","AC12","C","Control","W1.KL.AC12.C",33.4591121657669,0.607144024006244,NA
"W1_79","S10_C_N_2","W1","SS","AC10","C","Control","W1.SS.AC10.C",33.8043440733278,0.506015142991534,NA
"W1_8","S8_C_N_4","W1","SS","AC8","C","Control","W1.SS.AC8.C",68.7159207254224,1.23729841792755,NA
"W1_80","K8_C_N_1","W1","KL","AC8","C","Control","W1.KL.AC8.C",61.5955126319791,0.666976725703943,NA
"W1_84","S8_H_N_4","W1","SS","AC8","H","Heat","W1.SS.AC8.H",58.7473493946018,0.078173399265261,NA
"W1_85","K10_C_N_3","W1","KL","AC10","C","Control","W1.KL.AC10.C",41.2268300858869,0.491758238290398,NA
"W1_86","K8_H_N_2","W1","KL","AC8","H","Heat","W1.KL.AC8.H",38.939668698296,0.057912836499437,NA
"W1_87","S12_C_N_1","W1","SS","AC12","C","Control","W1.SS.AC12.C",30.9993348243956,1.18618029090942,NA
"W1_88","K10_C_N_4","W1","KL","AC10","C","Control","W1.KL.AC10.C",27.5470157487868,0.409440600372961,NA
"W1_9","K10_C_N_2","W1","KL","AC10","C","Control","W1.KL.AC10.C",21.2896874242457,0.365914249691057,NA
"W1_91","K8_C_N_2","W1","KL","AC8","C","Control","W1.KL.AC8.C",36.6956612991502,0.791891983172215,NA
"W1_95","K8_H_N_3","W1","KL","AC8","H","Heat","W1.KL.AC8.H",30.0067930901581,0.0303400188061173,NA
"W2_1","S12_C_N_8","W2","SS","AC12","C","Control","W2.SS.AC12.C",43.7297614157033,1.65775247001389,1.28138636447895
"W2_10","K10_C_N_8","W2","KL","AC10","C","Control","W2.KL.AC10.C",28.0648636101281,0.331809914680626,0.388038229983413
"W2_15","K12_C_N_8","W2","KL","AC12","C","Control","W2.KL.AC12.C",26.2523960954334,0.797845648978434,0.639732233924406
"W2_19","K8_C_N_8","W2","KL","AC8","C","Control","W2.KL.AC8.C",57.9274236141447,0.623781985783157,0.566602102289693
"W2_21","K10_H_N_7","W2","KL","AC10","H","Heat","W2.KL.AC10.H",27.7627856910123,0.0853210490605357,0.296209468730014
"W2_25","S8_C_N_8","W2","SS","AC8","C","Control","W2.SS.AC8.C",35.7894275418029,1.03164908007746,1.06563062388895
"W2_26","S8_C_N_6","W2","SS","AC8","C","Control","W2.SS.AC8.C",41.6152159818929,1.01229495845133,1.03454342322127
"W2_27","K10_C_N_5","W2","KL","AC10","C","Control","W2.KL.AC10.C",26.5544740145492,0.504369997788764,0.717935967760257
"W2_28","K8_C_N_6","W2","KL","AC8","C","Control","W2.KL.AC8.C",29.186867309701,0.688040953039359,0.808164019444457
"W2_30","K8_H_N_8","W2","KL","AC8","H","Heat","W2.KL.AC8.H",43.8160693925935,0.0871161970082729,0.290497212014904
"W2_35","S12_C_N_6","W2","SS","AC12","C","Control","W2.SS.AC12.C",42.3919877739049,1.62267424291462,1.52238824808604
"W2_37","S12_H_N_8","W2","SS","AC12","H","Heat","W2.SS.AC12.H",41.1405221089966,0.327749851211814,0.810283834310167
"W2_4","S8_C_N_5","W2","SS","AC8","C","Control","W2.SS.AC8.C",76.0089447726461,0.990058914229464,0.804263237476226
"W2_40","K8_C_N_5","W2","KL","AC8","C","Control","W2.KL.AC8.C",20.5560696206788,0.693741569431845,0.59791974958266
"W2_42","S8_H_N_5","W2","SS","AC8","H","Heat","W2.SS.AC8.H",53.9141026887494,0.12301976049365,0.218580471755846
"W2_43","S10_H_N_7","W2","SS","AC10","H","Heat","W2.SS.AC10.H",16.8448266143993,0.264000342763907,0.564054959869875
"W2_44","K10_H_N_5","W2","KL","AC10","H","Heat","W2.KL.AC10.H",19.0456800251,0.113308634669697,0.331716168268811
"W2_45","K12_C_N_5","W2","KL","AC12","C","Control","W2.KL.AC12.C",52.7920989891766,0.60680292341791,0.564593576893217
"W2_47","K8_H_N_6","W2","KL","AC8","H","Heat","W2.KL.AC8.H",39.0691306636313,0.0456816921616683,0.121336920465775
"W2_48","S8_H_N_7","W2","SS","AC8","H","Heat","W2.SS.AC8.H",56.3307260416756,0.153273366184065,0.309955174145677
"W2_49","S12_H_N_5","W2","SS","AC12","H","Heat","W2.SS.AC12.H",49.2966259251226,0.369703463296165,0.861362399619329
"W2_5","S8_C_N_7","W2","SS","AC8","C","Control","W2.SS.AC8.C",52.2310971393901,1.56198263362038,1.10073506299453
"W2_50","K10_H_N_6","W2","KL","AC10","H","Heat","W2.KL.AC10.H",22.8432310082697,0.0511962018964519,0.245408366179484
"W2_51","K12_H_N_8","W2","KL","AC12","H","Heat","W2.KL.AC12.H",26.5113200261041,0.181932849637468,0.267641444975711
"W2_53","K8_H_N_7","W2","KL","AC8","H","Heat","W2.KL.AC8.H",25.9071641878726,0.0126991899852168,0.0559737063263303
"W2_54","S10_H_N_5","W2","SS","AC10","H","Heat","W2.SS.AC10.H",17.7510603717466,0.145726505674966,0.423997205934771
"W2_56","S8_H_N_8","W2","SS","AC8","H","Heat","W2.SS.AC8.H",44.2044552885995,0.25368483621813,0.379488445010346
"W2_58","S12_C_N_5","W2","SS","AC12","C","Control","W2.SS.AC12.C",36.9545852298209,1.14828150289788,0.951753071540845
"W2_61","K12_C_N_6","W2","KL","AC12","C","Control","W2.KL.AC12.C",24.5693905460741,0.368822064036964,0.283277681916783
"W2_63","K12_H_N_6","W2","KL","AC12","H","Heat","W2.KL.AC12.H",36.60935332226,0.11234469591589,0.144383866971668
"W2_64","S10_C_N_6","W2","SS","AC10","C","Control","W2.SS.AC10.C",28.2374795639086,0.729810178467199,0.346421853191985
"W2_68","K10_H_N_8","W2","KL","AC10","H","Heat","W2.KL.AC10.H",31.0856428012859,0.117281366512899,0.325849462555782
"W2_72","S10_H_N_6","W2","SS","AC10","H","Heat","W2.SS.AC10.H",39.6732865018629,0.16974326876139,0.487608708673319
"W2_73","K10_C_N_7","W2","KL","AC10","C","Control","W2.KL.AC10.C",35.7894275418029,0.404193388762744,0.449082343695692
"W2_74","K8_H_N_5","W2","KL","AC8","H","Heat","W2.KL.AC8.H",65.9540654649353,0.0379191181372985,0.0780188448388478
"W2_76","S8_H_N_6","W2","SS","AC8","H","Heat","W2.SS.AC8.H",35.7031195649127,0.127049402272899,0.0923287387816824
"W2_77","S10_C_N_8","W2","SS","AC10","C","Control","W2.SS.AC10.C",29.4457912403717,0.886354740941145,0.357945891620298
"W2_78","S10_C_N_5","W2","SS","AC10","C","Control","W2.SS.AC10.C",36.4367373684796,0.549399080317144,0.368422448592031
"W2_80","S12_C_N_7","W2","SS","AC12","C","Control","W2.SS.AC12.C",38.8102067329607,1.35749255419252,0.531551407132281
"W2_82","K8_C_N_7","W2","KL","AC8","C","Control","W2.KL.AC8.C",34.9695017613458,0.632464830381067,0.183160058833892
"W2_83","K12_H_N_5","W2","KL","AC12","H","Heat","W2.KL.AC12.H",22.195921181593,0.130656438012809,0.187188986931778
"W2_85","K12_H_N_7","W2","KL","AC12","H","Heat","W2.KL.AC12.H",23.6631567887268,0.195780584476951,0.265219051542179
"W2_88","S12_H_N_7","W2","SS","AC12","H","Heat","W2.SS.AC12.H",54.129872630975,NA,0.325025704751656
"W2_90","K12_C_N_7","W2","KL","AC12","C","Control","W2.KL.AC12.C",21.4623033780261,0.813519392232437,0.296696952225527
"W2_91","S10_H_N_8","W2","SS","AC10","H","Heat","W2.SS.AC10.H",41.9604478894538,0.168399060434624,0.530110642731978
"W2_92","S10_C_N_7","W2","SS","AC10","C","Control","W2.SS.AC10.C",28.1943255754634,0.810198489723035,0.599156023604312
"W2_93","K10_C_N_6","W2","KL","AC10","C","Control","W2.KL.AC10.C",37.6882030333878,0.565060105973583,0.335438757554995
"W2_94","S12_H_N_6","W2","SS","AC12","H","Heat","W2.SS.AC12.H",42.7803736699109,0.27538328886281,0.420768414481161
