"RandN","ID","TimeP","Site","Genotype","Treat","Treatment","Set","SA_cm2","Chl_ug.cm2","Sym10.6_cm2"
"M12_10","S8_C_N_23","M12","SS","AC8","C","Control","M12.SS.AC8.C",61.4228966781987,2.73487047585449,1.00201721716985
"M12_12","S12_H_N_23","M12","SS","AC12","H","Heat","M12.SS.AC12.H",41.5720619934477,0.110162445171034,0.144793972474801
"M12_13","S10_H_N_21","M12","SS","AC10","H","Heat","M12.SS.AC10.H",52.5331750585059,0.137337025450393,0.323621216137541
"M12_16","S8_C_N_24","M12","SS","AC8","C","Control","M12.SS.AC8.C",46.8368485837512,2.19790655817906,0.956886967317186
"M12_18","S10_C_N_23","M12","SS","AC10","C","Control","M12.SS.AC10.C",44.3339172539348,1.75726512548927,0.937703694484843
"M12_2","K10_C_N_21","M12","KL","AC10","C","Control","M12.KL.AC10.C",57.8842696256996,1.46021363915548,0.562093988753629
"M12_20","K8_C_N_23","M12","KL","AC8","C","Control","M12.KL.AC8.C",85.8049001496863,0.967246857175015,0.417587339854634
"M12_21","K12_H_N_23","M12","KL","AC12","H","Heat","M12.KL.AC12.H",59.3083512443882,0.410629354703304,0.377934127820167
"M12_22","K8_C_N_22","M12","KL","AC8","C","Control","M12.KL.AC8.C",32.5528784084196,1.52071140107013,0.742476032280716
"M12_24","K12_C_N_24","M12","KL","AC12","C","Control","M12.KL.AC12.C",49.6418578326835,1.65029789194142,0.643664548327255
"M12_26","K8_H_N_23","M12","KL","AC8","H","Heat","M12.KL.AC8.H",60.6461248861867,0.12415104863056,0.165044279725774
"M12_27","K12_C_N_21","M12","KL","AC12","C","Control","M12.KL.AC12.C",47.915698294879,2.1692160126801,0.834672172653578
"M12_3","S8_H_N_22","M12","SS","AC8","H","Heat","M12.SS.AC8.H",34.0201140155534,0.13651482760689,0.0850614433178268
"M12_30","S10_H_N_23","M12","SS","AC10","H","Heat","M12.SS.AC10.H",42.9529896236913,0.111005078849509,0.263744156093655
"M12_32","S10_C_N_21","M12","SS","AC10","C","Control","M12.SS.AC10.C",51.3248633820428,1.80314946600286,1.01136479630964
"M12_34","S10_H_N_22","M12","SS","AC10","H","Heat","M12.SS.AC10.H",58.7905033830469,0.203275290718344,0.231723615483252
"M12_35","K8_H_N_22","M12","KL","AC8","H","Heat","M12.KL.AC8.H",48.3903921677753,0.165541125854618,0.18418532276197
"M12_36","K10_H_N_21","M12","KL","AC10","H","Heat","M12.KL.AC10.H",49.2966259251226,0.114216741903437,0.217237991424935
"M12_40","K8_C_N_21","M12","KL","AC8","C","Control","M12.KL.AC8.C",37.4724330911622,1.38949735502888,0.717400760569781
"M12_43","S12_H_N_22","M12","SS","AC12","H","Heat","M12.SS.AC12.H",100.649872174804,0.12347755373614,0.0936060801313016
"M12_44","S12_C_N_23","M12","SS","AC12","C","Control","M12.SS.AC12.C",58.8336573714921,3.63122645910591,0.637483741035847
"M12_45","S10_H_N_24","M12","SS","AC10","H","Heat","M12.SS.AC10.H",33.070726269761,0.0875013542106358,0.228824245898688
"M12_46","S8_H_N_24","M12","SS","AC8","H","Heat","M12.SS.AC8.H",51.2385554051526,0.42603517007959,0.421037240988074
"M12_52","K12_C_N_22","M12","KL","AC12","C","Control","M12.KL.AC12.C",37.386125114272,1.89198086501698,0.706462622678095
"M12_55","K10_C_N_22","M12","KL","AC10","C","Control","M12.KL.AC10.C",74.5417091655124,1.40521060185809,0.722847391121121
"M12_56","K10_H_N_23","M12","KL","AC10","H","Heat","M12.KL.AC10.H",89.1277572599598,0.062366055621191,0.12190792558943
"M12_57","S8_H_N_23","M12","SS","AC8","H","Heat","M12.SS.AC8.H",32.3802624546392,0.262184409774099,0.258628231063031
"M12_58","K10_C_N_24","M12","KL","AC10","C","Control","M12.KL.AC10.C",32.3802624546392,1.09515583399024,0.499368095692607
"M12_59","S8_H_N_21","M12","SS","AC8","H","Heat","M12.SS.AC8.H",54.6045665038712,0.0778044817863136,0.0607738182440242
