"ID","RandN","TimeP","Site","Genotype","Treat","Treatment","Set","Score_Full","Score_TP","Score_Set","Score_Seas","AnSet","Season"
"S8_H_N_12","M1_61","M1","SS","AC8","H","Heat","M1.SS.AC8.H",18.1992876359997,18.0816341553939,20.3288182173812,19.9941282387302,"Initial","Summer"
"S8_H_N_13","M4_80","M4","SS","AC8","H","Heat","M4.SS.AC8.H",17.2081929744845,18.0519387262412,16.1508839247147,18.0519387262412,"Seasonal","Winter"
"S8_H_N_14","M4_11","M4","SS","AC8","H","Heat","M4.SS.AC8.H",20.0278308992655,18.9779166385665,17.3967716186143,18.9779166385665,"Seasonal","Winter"
"S8_H_N_15","M4_5","M4","SS","AC8","H","Heat","M4.SS.AC8.H",20.1672060516851,19.0609626856528,17.5275899203686,19.0609626856528,"Seasonal","Winter"
"S8_H_N_16","M4_52","M4","SS","AC8","H","Heat","M4.SS.AC8.H",19.0932811663731,18.6251839987661,16.9189800366655,18.6251839987661,"Seasonal","Winter"
"S8_H_N_17","M8_71","M8","SS","AC8","H","Heat","M8.SS.AC8.H",24.8565900250297,20.838381012797,21.6726389516068,20.838381012797,"Seasonal","Spring"
"S8_H_N_18","M8_90","M8","SS","AC8","H","Heat","M8.SS.AC8.H",24.5561038940888,21.0418131003499,21.6272434107569,21.0418131003499,"Seasonal","Spring"
"S8_H_N_19","M8_63","M8","SS","AC8","H","Heat","M8.SS.AC8.H",24.6295076067839,20.6326440308593,21.4597476440628,20.6326440308593,"Seasonal","Spring"
"S8_H_N_2","W1_40","W1","SS","AC8","H","Heat","W1.SS.AC8.H",5.80453692815915,16.91798640586,11.9523421086182,10.6994986149679,"Initial","Summer"
"S8_H_N_20","M8_86","M8","SS","AC8","H","Heat","M8.SS.AC8.H",25.1184903881206,19.7113317576052,21.1648237365027,19.7113317576052,"Seasonal","Spring"
"S8_H_N_21","M12_59","M12","SS","AC8","H","Heat","M12.SS.AC8.H",4.71663712706563,15.3690520144788,15.3690520144788,10.8270130019869,"Annual","Summer"
"S8_H_N_22","M12_3","M12","SS","AC8","H","Heat","M12.SS.AC8.H",8.73969293627051,15.9742085747017,15.9742085747017,12.6329323314821,"Annual","Summer"
"S8_H_N_23","M12_57","M12","SS","AC8","H","Heat","M12.SS.AC8.H",19.6362200250224,20.0797044351621,20.0797044351621,21.1540869948169,"Annual","Summer"
"S8_H_N_24","M12_46","M12","SS","AC8","H","Heat","M12.SS.AC8.H",21.3235717862922,20.8129531707087,20.8129531707087,22.4007119160533,"Annual","Summer"
"S8_H_N_3","W1_22","W1","SS","AC8","H","Heat","W1.SS.AC8.H",6.39845739940914,17.0872066247592,12.2938726463889,11.051038114153,"Initial","Summer"
"S8_H_N_4","W1_84","W1","SS","AC8","H","Heat","W1.SS.AC8.H",8.31714351140836,17.925764896472,13.55315822683,12.328059145377,"Initial","Summer"
"S8_H_N_5","W2_42","W2","SS","AC8","H","Heat","W2.SS.AC8.H",11.5964446435064,17.5649269530908,15.8292939776905,14.7836817439662,"Initial","Summer"
"S8_H_N_6","W2_76","W2","SS","AC8","H","Heat","W2.SS.AC8.H",9.82531505948841,16.8139093396805,14.594501995085,13.4296907075685,"Initial","Summer"
"S8_H_N_7","W2_48","W2","SS","AC8","H","Heat","W2.SS.AC8.H",12.5637217910656,17.9809745310631,16.5002373935951,15.5299594857832,"Initial","Summer"
"S8_H_N_9","M1_30","M1","SS","AC8","H","Heat","M1.SS.AC8.H",18.4579882392134,18.198442931144,20.5014642186042,20.1933564011841,"Initial","Summer"
