"ID","TimeP","Site","Genotype","Treat","Treatment","Seas","Set","Score_Full","Score_TP","RandN","SA_cm2","Chl_ug.cm2","Sym10.6_cm2"
"K12_C_N_9","M1","KL","AC12","C","Control","Summer2","M1.KL.AC12.C",21.1868229167967,21.2761771593238,"M1_60",24.137850661623,1.41548090364933,0.617417027262274
"K12_H_N_11","M1","KL","AC12","H","Heat","Summer2","M1.KL.AC12.H",16.881395416731,17.1914045366166,"M1_86",27.5038617603417,0.104031451713896,0.0687957937138968
"K12_H_N_12","M1","KL","AC12","H","Heat","Summer2","M1.KL.AC12.H",18.5748278849824,18.020008638704,"M1_69",26.3818580607688,0.211529200122257,0.194982475766155
"K12_H_N_13","M4","KL","AC12","H","Heat","Winter","M4.KL.AC12.H",18.3395221478186,16.7754553014204,"M4_89",16.7585186375091,0.432348277517183,0.237111649660141
"K12_H_N_14","M4","KL","AC12","H","Heat","Winter","M4.KL.AC12.H",19.2276898536579,18.7947282605875,"M4_10",18.9593720482097,0.484588482676085,0.168823101939299
"K12_H_N_15","M4","KL","AC12","H","Heat","Winter","M4.KL.AC12.H",20.52659797675,21.3745863796405,"M4_72",20.8581475397946,0.49912236837608,0.444894925702083
"K12_H_N_16","M4","KL","AC12","H","Heat","Winter","M4.KL.AC12.H",20.107349526993,19.8308730977031,"M4_4",19.0888340135451,0.458814299175389,0.173808677766581
"K12_H_N_5","W2","KL","AC12","H","Heat","Summer1","W2.KL.AC12.H",17.2355495584742,17.4076124888873,"W2_83",22.195921181593,0.130656438012809,0.187188986931778
"K12_H_N_6","W2","KL","AC12","H","Heat","Summer1","W2.KL.AC12.H",18.9745563571471,18.3129544918397,"W2_63",36.60935332226,0.11234469591589,0.144383866971668
"K12_H_N_7","W2","KL","AC12","H","Heat","Summer1","W2.KL.AC12.H",19.5437422122164,20.2151866197715,"W2_85",23.6631567887268,0.195780584476951,0.265219051542179
"K12_H_N_8","W2","KL","AC12","H","Heat","Summer1","W2.KL.AC12.H",19.1401960846517,18.6767951274532,"W2_51",26.5113200261041,0.181932849637468,0.267641444975711
"K12_H_N_9","M1","KL","AC12","H","Heat","Summer2","M1.KL.AC12.H",18.226051769288,18.1996136360614,"M1_6",33.5454201426571,0.16840351507427,0.102920159751099
"K8_C_N_10","M1","KL","AC8","C","Control","Summer2","M1.KL.AC8.C",20.8024058057036,20.6701135432606,"M1_13",38.4218208369547,1.18959310979276,0.640432948360766
"K8_C_N_11","M1","KL","AC8","C","Control","Summer2","M1.KL.AC8.C",20.5748604835267,21.2477604046822,"M1_19",42.3919877739049,1.06608069999066,0.746096648467839
"K8_C_N_12","M1","KL","AC8","C","Control","Summer2","M1.KL.AC8.C",20.9844429266743,21.704859324388,"M1_2",34.4948078884496,0.943304378982464,0.138598162815131
"K8_C_N_13","M4","KL","AC8","C","Control","Winter","M4.KL.AC8.C",20.2943490723416,21.5268749311448,"M4_26",43.0392976005815,0.36854140791366,0.174819209872476
"K8_C_N_14","M4","KL","AC8","C","Control","Winter","M4.KL.AC8.C",19.5240582956088,19.6190853394741,"M4_96",24.6125445345192,0.522874286671882,0.151111559992659
"K8_C_N_15","M4","KL","AC8","C","Control","Winter","M4.KL.AC8.C",20.149060720639,20.620316114924,"M4_55",15.4638989841558,0.686484912001182,0.225216163373052
"K8_C_N_16","M4","KL","AC8","C","Control","Winter","M4.KL.AC8.C",20.5836643539482,20.9515905542825,"M4_16",31.0424888128407,0.744561219710342,0.139059790792753
"K8_C_N_5","W2","KL","AC8","C","Control","Summer1","W2.KL.AC8.C",20.8020494593275,20.5209095013086,"W2_40",20.5560696206788,0.693741569431845,0.59791974958266
"K8_C_N_6","W2","KL","AC8","C","Control","Summer1","W2.KL.AC8.C",20.8768815231638,20.7924202313813,"W2_28",29.186867309701,0.688040953039359,0.808164019444457
"K8_C_N_7","W2","KL","AC8","C","Control","Summer1","W2.KL.AC8.C",20.6685273545652,20.6908773139703,"W2_82",34.9695017613458,0.632464830381067,0.183160058833892
"K8_C_N_8","W2","KL","AC8","C","Control","Summer1","W2.KL.AC8.C",19.9857235985123,20.5358007270202,"W2_19",57.9274236141447,0.623781985783157,0.566602102289693
"K8_H_N_10","M1","KL","AC8","H","Heat","Summer2","M1.KL.AC8.H",17.8072131297153,17.7045718235684,"M1_68",35.7462735533578,0.0497618303442124,0.0521139636337005
"K8_H_N_11","M1","KL","AC8","H","Heat","Summer2","M1.KL.AC8.H",17.6346189616316,17.3214593963311,"M1_28",39.4575165596373,0.0700991912610483,0.0754099664509486
"K8_H_N_12","M1","KL","AC8","H","Heat","Summer2","M1.KL.AC8.H",15.7149617210482,16.5221611337795,"M1_57",20.2108377131179,0.00653906591482949,0.0150533097300827
"K8_H_N_13","M4","KL","AC8","H","Heat","Winter","M4.KL.AC8.H",18.5504439828189,17.5940242288745,"M4_31",42.7372196814657,0.142262881051121,0.0941953648366565
"K8_H_N_14","M4","KL","AC8","H","Heat","Winter","M4.KL.AC8.H",18.7862111348386,18.7905149772553,"M4_56",34.4084999115594,0.110408378058656,0.116474243582285
"K8_H_N_15","M4","KL","AC8","H","Heat","Winter","M4.KL.AC8.H",18.3856274152295,17.5879106329631,"M4_38",25.3893163265312,0.141762514872139,0.0979634098063881
"K8_H_N_16","M4","KL","AC8","H","Heat","Winter","M4.KL.AC8.H",18.3114529114794,17.3461874707141,"M4_47",31.4308747088467,0.124870848691185,0.0737975007532047
"K8_H_N_5","W2","KL","AC8","H","Heat","Summer1","W2.KL.AC8.H",16.7461264349537,17.5917912352458,"W2_74",65.9540654649353,0.0379191181372985,0.0780188448388478
"K8_H_N_6","W2","KL","AC8","H","Heat","Summer1","W2.KL.AC8.H",17.8387189538253,17.9691851197988,"W2_47",39.0691306636313,0.0456816921616683,0.121336920465775
"K8_H_N_7","W2","KL","AC8","H","Heat","Summer1","W2.KL.AC8.H",16.6492033354465,16.9521655799324,"W2_53",25.9071641878726,0.0126991899852168,0.0559737063263303
"K8_H_N_8","W2","KL","AC8","H","Heat","Summer1","W2.KL.AC8.H",16.6425232435036,16.156093311249,"W2_30",43.8160693925935,0.0871161970082729,0.290497212014904
"K8_H_N_9","M1","KL","AC8","H","Heat","Summer2","M1.KL.AC8.H",17.5310424155121,17.5382086898613,"M1_17",18.0099843024173,0.0428758100895748,0.0578905557324701
"S10_C_N_10","M1","SS","AC10","C","Control","Summer2","M1.SS.AC10.C",21.5959952429646,21.5244234129222,"M1_85",39.0259766751862,1.09725803976852,0.752395519640378
"S10_C_N_11","M1","SS","AC10","C","Control","Summer2","M1.SS.AC10.C",21.2125664855146,21.5716101266298,"M1_23",52.1447891624999,1.07709068477848,0.752669646006071
"S10_C_N_12","M1","SS","AC10","C","Control","Summer2","M1.SS.AC10.C",21.0732547944957,21.0155301775656,"M1_35",43.211913554362,0.987226202784697,0.698112106561753
"S10_C_N_13","M4","SS","AC10","C","Control","Winter","M4.SS.AC10.C",21.0503127526454,21.3301454556718,"M4_7",45.3696129766175,0.995831138269096,0.308400118096911
"S10_C_N_14","M4","SS","AC10","C","Control","Winter","M4.SS.AC10.C",20.8664246938423,19.8784439304575,"M4_71",37.9039729756134,1.14279524280658,0.536638204472307
"S10_C_N_15","M4","SS","AC10","C","Control","Winter","M4.SS.AC10.C",20.4304124182296,19.679460967686,"M4_51",18.0531382908624,0.747126609384417,0.453094407643252
"S10_C_N_16","M4","SS","AC10","C","Control","Winter","M4.SS.AC10.C",20.5078680505276,20.6103223011874,"M4_8",45.542228930398,1.09873549249879,0.243238358336169
