Row,Column,Well,Plate,RandN,Rep,A630,A663,A750
G,11,G11,W1_1,W1_87,A,0.055,0.1,0.041
H,11,H11,W1_1,W1_88,A,0.057,0.104,0.044
A,12,A12,W1_1,W1_89,A,0.069,0.154,0.044
B,12,B12,W1_1,W1_90,A,0.044,0.063,0.04
C,12,C12,W1_1,W1_91,A,0.056,0.108,0.039
D,12,D12,W1_1,W1_92,A,0.049,0.078,0.041
E,12,E12,W1_1,W1_93,A,0.043,0.061,0.039
F,12,F12,W1_1,W1_94,A,0.054,0.107,0.04
G,12,G12,W1_1,W1_95,A,0.038,0.044,0.039
H,12,H12,W1_1,W1_96,A,0.06,0.081,0.056
A,1,A1,W1_2,W1_1,B,0.066,0.129,0.045
B,1,B1,W1_2,W1_2,B,0.068,0.152,0.039
C,1,C1,W1_2,W1_3,B,0.047,0.071,0.043
D,1,D1,W1_2,W1_4,B,0.044,0.066,0.037
E,1,E1,W1_2,W1_5,B,0.049,0.066,0.049
F,1,F1,W1_2,W1_6,B,0.04,0.056,0.036
G,1,G1,W1_2,W1_7,B,0.044,0.068,0.039
H,1,H1,W1_2,W1_8,B,0.091,0.221,0.043
A,2,A2,W1_2,W1_9,B,0.05,0.073,0.043
B,2,B2,W1_2,W1_10,B,0.05,0.077,0.043
C,2,C2,W1_2,W1_11,B,0.054,0.09,0.042
D,2,D2,W1_2,W1_12,B,0.049,0.073,0.043
E,2,E2,W1_2,W1_13,B,0.047,0.06,0.044
F,2,F2,W1_2,W1_14,B,0.047,0.06,0.044
G,2,G2,W1_2,W1_15,B,0.04,0.05,0.039
H,2,H2,W1_2,W1_16,B,0.044,0.053,0.043
A,3,A3,W1_2,W1_17,B,0.048,0.055,0.047
B,3,B3,W1_2,W1_18,B,0.043,0.051,0.043
C,3,C3,W1_2,W1_19,B,0.05,0.086,0.04
D,3,D3,W1_2,W1_20,B,0.051,0.084,0.042
E,3,E3,W1_2,W1_21,B,0.045,0.058,0.043
F,3,F3,W1_2,W1_22,B,0.045,0.057,0.042
G,3,G3,W1_2,W1_23,B,0.041,0.05,0.041
H,3,H3,W1_2,W1_24,B,0.052,0.079,0.044
A,4,A4,W1_2,W1_25,B,0.047,0.066,0.044
B,4,B4,W1_2,W1_26,B,0.06,0.117,0.041
C,4,C4,W1_2,W1_28,B,0.054,0.08,0.045
D,4,D4,W1_2,W1_27,B,0.064,0.121,0.046
E,4,E4,W1_2,W1_29,B,0.067,0.132,0.046
F,4,F4,W1_2,W1_30,B,0.043,0.056,0.042
G,4,G4,W1_2,W1_31,B,0.052,0.091,0.04
H,4,H4,W1_2,W1_32,B,0.052,0.074,0.047
A,5,A5,W1_2,W1_33,B,0.05,0.07,0.046
B,5,B5,W1_2,W1_34,B,0.054,0.088,0.046
C,5,C5,W1_2,W1_35,B,0.04,0.045,0.041
D,5,D5,W1_2,W1_36,B,0.064,0.112,0.045
E,5,E5,W1_2,W1_37,B,0.041,0.052,0.04
F,5,F5,W1_2,W1_38,B,0.071,0.166,0.042
G,5,G5,W1_2,W1_39,B,0.042,0.054,0.04
H,5,H5,W1_2,W1_40,B,0.052,0.084,0.044
A,6,A6,W1_2,W1_41,B,0.046,0.059,0.043
B,6,B6,W1_2,W1_42,B,0.043,0.049,0.042
C,6,C6,W1_2,W1_43,B,0.044,0.056,0.042
D,6,D6,W1_2,W1_44,B,0.059,0.114,0.042
E,6,E6,W1_2,W1_45,B,0.053,0.091,0.041
F,6,F6,W1_2,W1_46,B,0.06,0.111,0.043
G,6,G6,W1_2,W1_47,B,0.045,0.061,0.042
H,6,H6,W1_2,W1_48,B,0.045,0.053,0.045
A,7,A7,W1_2,W1_49,B,0.044,0.05,0.045
B,7,B7,W1_2,W1_50,B,0.049,0.062,0.051
C,7,C7,W1_2,W1_51,B,0.061,0.118,0.043
D,7,D7,W1_2,W1_52,B,0.045,0.058,0.043
E,7,E7,W1_2,W1_53,B,0.046,0.064,0.042
F,7,F7,W1_2,W1_54,B,0.044,0.054,0.042
G,7,G7,W1_2,W1_55,B,0.05,0.078,0.041
H,7,H7,W1_2,W1_56,B,0.044,0.048,0.043
A,8,A8,W1_2,W1_57,B,0.042,0.047,0.043
B,8,B8,W1_2,W1_58,B,0.084,0.207,0.043
C,8,C8,W1_2,W1_59,B,0.088,0.214,0.042
D,8,D8,W1_2,W1_60,B,0.041,0.045,0.041
E,8,E8,W1_2,W1_61,B,0.041,0.046,0.042
F,8,F8,W1_2,W1_62,B,0.047,0.065,0.042
G,8,G8,W1_2,W1_63,B,0.054,0.092,0.041
H,8,H8,W1_2,W1_64,B,0.058,0.107,0.043
A,9,A9,W1_2,W1_65,B,0.052,0.085,0.043
B,9,B9,W1_2,W1_66,B,0.04,0.046,0.04
C,9,C9,W1_2,W1_67,B,0.057,0.098,0.043
D,9,D9,W1_2,W1_68,B,0.045,0.056,0.041
E,9,E9,W1_2,W1_69,B,0.045,0.062,0.039
F,9,F9,W1_2,W1_70,B,0.065,0.137,0.039
G,9,G9,W1_2,W1_71,B,0.052,0.09,0.041
H,9,H9,W1_2,W1_72,B,0.053,0.09,0.043
A,10,A10,W1_2,W1_73,B,0.089,0.225,0.044
B,10,B10,W1_2,W1_74,B,0.047,0.062,0.042
C,10,C10,W1_2,W1_75,B,0.066,0.149,0.04
D,10,D10,W1_2,W1_76,B,0.047,0.071,0.04
E,10,E10,W1_2,W1_77,B,0.062,0.127,0.039
F,10,F10,W1_2,W1_78,B,0.059,0.118,0.041
G,10,G10,W1_2,W1_79,B,0.068,0.147,0.043
H,10,H10,W1_2,W1_80,B,0.077,0.177,0.042
A,11,A11,W1_2,W1_81,B,0.088,0.219,0.043
B,11,B11,W1_2,W1_82,B,0.045,0.064,0.041
C,11,C11,W1_2,W1_83,B,0.079,0.193,0.043
D,11,D11,W1_2,W1_84,B,0.05,0.078,0.043
E,11,E11,W1_2,W1_85,B,0.05,0.084,0.04
F,11,F11,W1_2,W1_86,B,0.043,0.048,0.042
G,11,G11,W1_2,W1_87,B,0.057,0.102,0.043
H,11,H11,W1_2,W1_88,B,0.061,0.107,0.047
A,12,A12,W1_2,W1_89,B,0.069,0.154,0.044
B,12,B12,W1_2,W1_90,B,0.049,0.067,0.044
C,12,C12,W1_2,W1_91,B,0.057,0.107,0.041
D,12,D12,W1_2,W1_92,B,0.049,0.079,0.041
E,12,E12,W1_2,W1_93,B,0.045,0.061,0.041
F,12,F12,W1_2,W1_94,B,0.061,0.108,0.04
G,12,G12,W1_2,W1_95,B,0.04,0.044,0.04
H,12,H12,W1_2,W1_96,B,0.053,0.072,0.048
A,1,A1,W1_3,W1_1,C,0.06,0.125,0.04
B,1,B1,W1_3,W1_2,C,0.068,0.153,0.039
C,1,C1,W1_3,W1_3,C,0.043,0.066,0.039
D,1,D1,W1_3,W1_4,C,0.043,0.066,0.039
E,1,E1,W1_3,W1_5,C,0.04,0.055,0.039
F,1,F1,W1_3,W1_6,C,0.04,0.057,0.038
G,1,G1,W1_3,W1_7,C,0.044,0.065,0.038
H,1,H1,W1_3,W1_8,C,0.086,0.212,0.04
A,2,A2,W1_3,W1_9,C,0.068,0.098,0.066
B,2,B2,W1_3,W1_10,C,0.052,0.084,0.055
C,2,C2,W1_3,W1_11,C,0.055,0.092,0.043
D,2,D2,W1_3,W1_12,C,0.049,0.073,0.042
E,2,E2,W1_3,W1_13,C,0.042,0.056,0.042
F,2,F2,W1_3,W1_14,C,0.042,0.056,0.039
G,2,G2,W1_3,W1_15,C,0.042,0.053,0.041
H,2,H2,W1_3,W1_16,C,0.045,0.055,0.045
A,3,A3,W1_3,W1_17,C,0.043,0.051,0.043
B,3,B3,W1_3,W1_18,C,0.045,0.053,0.044
C,3,C3,W1_3,W1_19,C,0.051,0.087,0.042
D,3,D3,W1_3,W1_20,C,0.054,0.087,0.044
E,3,E3,W1_3,W1_21,C,0.042,0.054,0.04
F,3,F3,W1_3,W1_22,C,0.046,0.059,0.045
G,3,G3,W1_3,W1_23,C,0.042,0.05,0.043
H,3,H3,W1_3,W1_24,C,0.066,0.095,0.065
A,4,A4,W1_3,W1_25,C,0.05,0.069,0.049
B,4,B4,W1_3,W1_26,C,0.06,0.114,0.042
C,4,C4,W1_3,W1_27,C,0.052,0.08,0.043
D,4,D4,W1_3,W1_28,C,0.064,0.121,0.045
E,4,E4,W1_3,W1_29,C,0.064,0.132,0.042
F,4,F4,W1_3,W1_30,C,0.044,0.056,0.042
G,4,G4,W1_3,W1_31,C,0.053,0.093,0.04
H,4,H4,W1_3,W1_32,C,0.048,0.071,0.042
A,5,A5,W1_3,W1_33,C,0.048,0.067,0.044
B,5,B5,W1_3,W1_34,C,0.055,0.089,0.047
C,5,C5,W1_3,W1_35,C,0.041,0.046,0.042
D,5,D5,W1_3,W1_36,C,0.062,0.116,0.044
E,5,E5,W1_3,W1_37,C,0.047,0.059,0.046
F,5,F5,W1_3,W1_38,C,0.071,0.165,0.04
G,5,G5,W1_3,W1_39,C,0.045,0.058,0.043
H,5,H5,W1_3,W1_40,C,0.05,0.08,0.041
A,6,A6,W1_3,W1_41,C,0.047,0.06,0.044
B,6,B6,W1_3,W1_42,C,0.042,0.049,0.042
C,6,C6,W1_3,W1_43,C,0.044,0.056,0.041
D,6,D6,W1_3,W1_44,C,0.059,0.114,0.041
E,6,E6,W1_3,W1_45,C,0.053,0.091,0.04
F,6,F6,W1_3,W1_46,C,0.057,0.108,0.039
G,6,G6,W1_3,W1_47,C,0.046,0.061,0.043
H,6,H6,W1_3,W1_48,C,0.044,0.052,0.043
A,7,A7,W1_3,W1_49,C,0.05,0.054,0.047
B,7,B7,W1_3,W1_50,C,0.045,0.056,0.043
C,7,C7,W1_3,W1_51,C,0.06,0.119,0.041
D,7,D7,W1_3,W1_52,C,0.044,0.058,0.042
E,7,E7,W1_3,W1_53,C,0.047,0.065,0.043
F,7,F7,W1_3,W1_54,C,0.041,0.051,0.04
G,7,G7,W1_3,W1_55,C,0.049,0.078,0.04
H,7,H7,W1_3,W1_56,C,0.042,0.046,0.042
A,8,A8,W1_3,W1_57,C,0.043,0.049,0.044
B,8,B8,W1_3,W1_58,C,0.083,0.203,0.043
C,8,C8,W1_3,W1_59,C,0.089,0.216,0.043
D,8,D8,W1_3,W1_60,C,0.041,0.045,0.042
E,8,E8,W1_3,W1_61,C,0.046,0.05,0.046
F,8,F8,W1_3,W1_62,C,0.046,0.063,0.041
G,8,G8,W1_3,W1_63,C,0.053,0.091,0.038
H,8,H8,W1_3,W1_64,C,0.057,0.106,0.042
A,9,A9,W1_3,W1_65,C,0.051,0.084,0.041
B,9,B9,W1_3,W1_66,C,0.04,0.046,0.04
C,9,C9,W1_3,W1_67,C,0.055,0.096,0.042
D,9,D9,W1_3,W1_68,C,0.046,0.057,0.042
E,9,E9,W1_3,W1_69,C,0.045,0.061,0.039
F,9,F9,W1_3,W1_70,C,0.067,0.138,0.04
G,9,G9,W1_3,W1_71,C,0.051,0.089,0.038
H,9,H9,W1_3,W1_72,C,0.052,0.09,0.042
A,10,A10,W1_3,W1_73,C,0.089,0.227,0.043
B,10,B10,W1_3,W1_74,C,0.048,0.064,0.045
C,10,C10,W1_3,W1_75,C,0.066,0.145,0.042
D,10,D10,W1_3,W1_76,C,0.05,0.074,0.043
E,10,E10,W1_3,W1_77,C,0.058,0.112,0.041
F,10,F10,W1_3,W1_78,C,0.064,0.126,0.047
G,10,G10,W1_3,W1_79,C,0.066,0.146,0.039
H,10,H10,W1_3,W1_80,C,0.077,0.178,0.042
A,11,A11,W1_3,W1_81,C,0.087,0.217,0.042
B,11,B11,W1_3,W1_82,C,0.046,0.064,0.041
C,11,C11,W1_3,W1_83,C,0.079,0.19,0.042
D,11,D11,W1_3,W1_84,C,0.049,0.076,0.041
E,11,E11,W1_3,W1_85,C,0.055,0.088,0.046
F,11,F11,W1_3,W1_86,C,0.042,0.047,0.042
G,11,G11,W1_3,W1_87,C,0.056,0.103,0.042
H,11,H11,W1_3,W1_88,C,0.058,0.108,0.047
A,12,A12,W1_3,W1_89,C,0.07,0.156,0.044
B,12,B12,W1_3,W1_90,C,0.048,0.065,0.042
C,12,C12,W1_3,W1_91,C,0.058,0.109,0.041
D,12,D12,W1_3,W1_92,C,0.051,0.079,0.042
E,12,E12,W1_3,W1_93,C,0.047,0.063,0.043
F,12,F12,W1_3,W1_94,C,0.056,0.106,0.042
G,12,G12,W1_3,W1_95,C,0.04,0.045,0.04
H,12,H12,W1_3,W1_96,C,0.148,0.176,0.139
H,12,H12,W2_1,W2_96,A,0.041,0.058,0.039
G,12,G12,W2_1,W2_95,A,0.062,0.124,0.045
F,12,F12,W2_1,W2_94,A,0.045,0.073,0.038
E,12,E12,W2_1,W2_93,A,0.053,0.104,0.04
D,12,D12,W2_1,W2_92,A,0.059,0.124,0.039
C,12,C12,W2_1,W2_91,A,0.042,0.064,0.036
B,12,B12,W2_1,W2_90,A,0.055,0.097,0.039
A,12,A12,W2_1,W2_89,A,0.042,0.052,0.041
H,11,H11,W2_1,W2_88,A,0.057,0.095,0.044
G,11,G11,W2_1,W2_87,A,0.062,0.116,0.041
F,11,F11,W2_1,W2_86,A,0.061,0.092,0.05
E,11,E11,W2_1,W2_85,A,0.047,0.062,0.044
D,11,D11,W2_1,W2_84,A,0.048,0.06,0.053
C,11,C11,W2_1,W2_83,A,0.045,0.054,0.044
B,11,B11,W2_1,W2_82,A,0.054,0.08,0.045
A,11,A11,W2_1,W2_81,A,0.059,0.096,0.045
H,10,H10,W2_1,W2_80,A,0.064,0.131,0.045
G,10,G10,W2_1,W2_79,A,0.046,0.062,0.044
F,10,F10,W2_1,W2_78,A,0.06,0.11,0.046
E,10,E10,W2_1,W2_77,A,0.055,0.101,0.04
D,10,D10,W2_1,W2_76,A,0.044,0.056,0.041
C,10,C10,W2_1,W2_75,A,0.052,0.087,0.041
B,10,B10,W2_1,W2_74,A,0.045,0.048,0.044
A,10,A10,W2_1,W2_73,A,0.057,0.089,0.046
H,9,H9,W2_1,W2_72,A,0.05,0.072,0.047
G,9,G9,W2_1,W2_71,A,0.047,0.047,0.053
F,9,F9,W2_1,W2_70,A,0.045,0.053,0.044
E,9,E9,W2_1,W2_69,A,0.043,0.043,0.048
D,9,D9,W2_1,W2_68,A,0.043,0.054,0.041
C,9,C9,W2_1,W2_67,A,0.044,0.052,0.043
B,9,B9,W2_1,W2_66,A,0.05,0.073,0.043
A,9,A9,W2_1,W2_65,A,0.036,0.036,0.04
H,8,H8,W2_1,W2_64,A,0.054,0.093,0.042
G,8,G8,W2_1,W2_63,A,0.047,0.061,0.044
F,8,F8,W2_1,W2_62,A,0.042,0.047,0.042
E,8,E8,W2_1,W2_61,A,0.048,0.069,0.044
D,8,D8,W2_1,W2_60,A,0.053,0.085,0.043
C,8,C8,W2_1,W2_59,A,0.049,0.068,0.043
B,8,B8,W2_1,W2_58,A,0.067,0.132,0.045
A,8,A8,W2_1,W2_57,A,0.052,0.058,0.051
H,7,H7,W2_1,W2_56,A,0.05,0.075,0.043
G,7,G7,W2_1,W2_55,A,0.051,0.074,0.045
F,7,F7,W2_1,W2_54,A,0.048,0.061,0.045
E,7,E7,W2_1,W2_53,A,0.041,0.044,0.042
D,7,D7,W2_1,W2_52,A,0.064,0.12,0.041
C,7,C7,W2_1,W2_51,A,0.046,0.06,0.042
B,7,B7,W2_1,W2_50,A,0.045,0.051,0.046
A,7,A7,W2_1,W2_49,A,0.058,0.089,0.048
H,6,H6,W2_1,W2_48,A,0.048,0.067,0.044
G,6,G6,W2_1,W2_47,A,0.045,0.053,0.044
F,6,F6,W2_1,W2_46,A,0.055,0.094,0.045
E,6,E6,W2_1,W2_45,A,0.061,0.113,0.043
D,6,D6,W2_1,W2_44,A,0.044,0.051,0.043
C,6,C6,W2_1,W2_43,A,0.137,0.156,0.122
B,6,B6,W2_1,W2_42,A,0.051,0.071,0.047
A,6,A6,W2_1,W2_41,A,0.056,0.09,0.047
H,5,H5,W2_1,W2_40,A,0.063,0.125,0.045
G,5,G5,W2_1,W2_39,A,0.071,0.148,0.046
F,5,F5,W2_1,W2_38,A,0.052,0.076,0.047
E,5,E5,W2_1,W2_37,A,0.051,0.082,0.042
D,5,D5,W2_1,W2_36,A,0.044,0.056,0.042
C,5,C5,W2_1,W2_35,A,0.093,0.24,0.043
B,5,B5,W2_1,W2_34,A,0.078,0.179,0.045
A,5,A5,W2_1,W2_33,A,0.191,0.295,0.142
H,4,H4,W2_1,W2_32,A,0.05,0.068,0.046
G,4,G4,W2_1,W2_31,A,0.089,0.217,0.047
F,4,F4,W2_1,W2_30,A,0.051,0.078,0.047
E,4,E4,W2_1,W2_29,A,0.071,0.164,0.043
D,4,D4,W2_1,W2_28,A,0.066,0.139,0.044
C,4,C4,W2_1,W2_27,A,0.051,0.089,0.041
B,4,B4,W2_1,W2_26,A,0.08,0.187,0.045
A,4,A4,W2_1,W2_25,A,0.076,0.169,0.047
H,3,H3,W2_1,W2_24,A,0.065,0.113,0.045
G,3,G3,W2_1,W2_23,A,0.049,0.064,0.047
F,3,F3,W2_1,W2_22,A,0.048,0.067,0.043
E,3,E3,W2_1,W2_21,A,0.045,0.055,0.043
D,3,D3,W2_1,W2_20,A,0.048,0.068,0.041
C,3,C3,W2_1,W2_19,A,0.051,0.084,0.04
B,3,B3,W2_1,W2_18,A,0.051,0.079,0.043
